,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
15839,Clock Zero: Shuuen no Ichibyou - ExTime,PSV,2015.0,Action,Idea Factory,0.0,0.0,0.02,0.0,0.02,,,,,,
15846,Root Infinity Rexx,PSV,2015.0,Adventure,Idea Factory,0.0,0.0,0.02,0.0,0.02,,,,,,
15860,Kaleidoeve,PSV,2015.0,Adventure,HuneX,0.0,0.0,0.02,0.0,0.02,,,,,,
15862,Broken Sword 5: The Serpent's Curse,XOne,2015.0,Adventure,Revolution Software,0.0,0.02,0.0,0.0,0.02,77.0,12.0,7.2,11.0,Revolution Software,T
15879,Reine des Fleurs,PSV,2015.0,Action,Idea Factory,0.0,0.0,0.02,0.0,0.02,,,,,,
15893,Rugby League Live 3,PS3,2015.0,Action,Tru Blu Entertainment,0.0,0.01,0.0,0.0,0.02,,,tbd,,Big Ant Studios,
15913,Psychedelica of the Black Butterfly,PSV,2015.0,Action,Idea Factory,0.0,0.0,0.02,0.0,0.02,,,,,,
15945,Professional Farmer 2016,PS4,2015.0,Action,Namco Bandai Games,0.0,0.01,0.0,0.0,0.02,,,,,,
15972,I Doll U,PSV,2015.0,Adventure,Idea Factory,0.0,0.0,0.02,0.0,0.02,,,,,,
15977,Paranormal Pursuit: The Gifted One,PC,2015.0,Action,Alawar Entertainment,0.0,0.01,0.0,0.0,0.02,,,tbd,,Logris Games,
15982,The Sims 4: Luxury Party Stuff,PC,2015.0,Simulation,Electronic Arts,0.0,0.01,0.0,0.0,0.02,,,5.3,12.0,Maxis,T
15993,Rugby World Cup 2015,PSV,2015.0,Sports,Ubisoft,0.0,0.01,0.0,0.0,0.02,,,tbd,,HB Studios Multimedia,E
15998,Harukanaru Toki no Naka de 6,PSP,2015.0,Action,Tecmo Koei,0.0,0.0,0.02,0.0,0.02,,,,,,
16003,Saenai Kanojo no Sodatekata: Blessing Flowers,PSV,2015.0,Action,5pb,0.0,0.0,0.02,0.0,0.02,,,,,,
16018,Sid Meier's Civilization Revolution 2+,PSV,2015.0,Strategy,Take-Two Interactive,0.0,0.0,0.02,0.0,0.02,,,,,,
16054,Girl Friend Beta: Kimi to Sugosu Natsuyasumi,PSV,2015.0,Action,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02,,,,,,
16071,Meiji Toukyou Renka: Twilight Kiss,PSP,2015.0,Action,Broccoli,0.0,0.0,0.02,0.0,0.02,,,,,,
16102,SpongeBob: HeroPants,PSV,2015.0,Platform,Activision,0.01,0.0,0.0,0.0,0.01,,,5.1,7.0,Activision,E
16116,Sousaku Alice to Oujisama!,3DS,2015.0,Simulation,Happinet,0.0,0.0,0.01,0.0,0.01,,,,,,
16126,WRC 5: FIA World Rally Championship,XOne,2015.0,Sports,Bigben Interactive,0.0,0.01,0.0,0.0,0.01,,,,,,
16144,MLB 15: The Show,PSV,2015.0,Sports,Sony Computer Entertainment,0.01,0.0,0.0,0.0,0.01,,,8.8,5.0,SCEA San Diego Studios,E
16157,Kaitou Joker: Toki o Koeru Kaitou to Ushinawareta Houseki,3DS,2015.0,Action,Namco Bandai Games,0.0,0.0,0.01,0.0,0.01,,,,,,
16160,Raven's Cry,PS4,2015.0,Role-Playing,TopWare Interactive,0.0,0.01,0.0,0.0,0.01,,,,,,
16170,War for the Overworld,PC,2015.0,Strategy,Unknown,0.0,0.01,0.0,0.0,0.01,65.0,14.0,7.7,90.0,Subterranean Games,
16173,Infinite Stratos 2: Love and Purge,PSV,2015.0,Action,5pb,0.0,0.0,0.01,0.0,0.01,,,,,,
16186,Higurashi no Naku Koro ni Iki,PS3,2015.0,Action,Kaga Create,0.0,0.0,0.01,0.0,0.01,,,,,,
16214,Norn + Nonette: Last Era,PSV,2015.0,Action,Idea Factory,0.0,0.0,0.01,0.0,0.01,,,,,,
16217,Hitotsu Tobashi Renai V,PSV,2015.0,Adventure,Kaga Create,0.0,0.0,0.01,0.0,0.01,,,,,,
16221,Fuuraiki 3,PSV,2015.0,Action,Unknown,0.0,0.0,0.01,0.0,0.01,,,,,,
16244,NHL 16,PS3,2015.0,Sports,Electronic Arts,0.0,0.01,0.0,0.0,0.01,,,,,,
16273,Hyakka Yakou,PSV,2015.0,Action,Unknown,0.0,0.0,0.01,0.0,0.01,,,,,,
16303,Barbie and Her Sisters Puppy Rescue,WiiU,2015.0,Action,Namco Bandai Games,0.0,0.01,0.0,0.0,0.01,,,2.8,11.0,"Torus Games, Little Orbit",E
16315,Monster High: New Ghoul in School,Wii,2015.0,Action,Little Orbit,0.0,0.01,0.0,0.0,0.01,,,tbd,,"Torus Games, Little Orbit",E
16348,Farming Simulator 15 Expansion Pack,PC,2015.0,Action,Focus Home Interactive,0.0,0.01,0.0,0.0,0.01,,,,,,
16367,Nitroplus Blasterz: Heroines Infinite Duel,PS3,2015.0,Fighting,Nitroplus,0.0,0.0,0.01,0.0,0.01,,,tbd,,Marvelous Inc.,T
16368,Kurogane Kaikitan,PSV,2015.0,Adventure,Minato Station,0.0,0.0,0.01,0.0,0.01,,,,,,
16379,Dragon Quest X: All in One Package,WiiU,2015.0,Role-Playing,Square Enix,0.0,0.0,0.01,0.0,0.01,,,,,,
16391,Durarara!! Relay,PSV,2015.0,Action,Kadokawa Games,0.0,0.0,0.01,0.0,0.01,,,,,,
16402,Chaos;Child,PS4,2015.0,Adventure,5pb,0.0,0.0,0.01,0.0,0.01,,,,,,
16416,Legend of Kay Anniversary,WiiU,2015.0,Action,Nordic Games,0.0,0.01,0.0,0.0,0.01,67.0,9.0,7.1,35.0,"Neon Studios, Kaiko",E10+
16424,Mario vs. Donkey Kong: Tipping Stars,WiiU,2015.0,Puzzle,Nintendo,0.0,0.0,0.01,0.0,0.01,70.0,26.0,7.4,72.0,"Nintendo, Nintendo Software Technology",E
16457,Act of Aggression,PC,2015.0,Strategy,Focus Home Interactive,0.0,0.01,0.0,0.0,0.01,71.0,37.0,7.1,93.0,Eugen Systems,
16460,Fallout Anthology,PC,2015.0,Action,Bethesda Softworks,0.0,0.01,0.0,0.0,0.01,,,8.3,12.0,Various,
16479,Chaos;Child,PS3,2015.0,Adventure,5pb,0.0,0.0,0.01,0.0,0.01,,,,,,
16495,Ride,X360,2015.0,Racing,Milestone S.r.l.,0.0,0.01,0.0,0.0,0.01,,,,,Milestone S.r.l,
16514,Art Academy: Home Studio,WiiU,2015.0,Misc,Nintendo,0.0,0.0,0.01,0.0,0.01,82.0,9.0,8.3,20.0,Headstrong Games,E
16522,Rugby World Cup 2015,PC,2015.0,Sports,Ubisoft,0.0,0.01,0.0,0.0,0.01,,,1.4,8.0,HB Studios Multimedia,E
16537,Rugby League Live 3,XOne,2015.0,Action,Tru Blu Entertainment,0.0,0.01,0.0,0.0,0.01,,,7.1,10.0,Big Ant Studios,E
16558,"Horse Life 4: My Horse, My Friend, My Champion",3DS,2015.0,Action,Unknown,0.0,0.01,0.0,0.0,0.01,,,,,,
16582,"Shinobi, Koi Utsutsu: Setsugetsuka Koi Emaki",PSV,2015.0,Action,Idea Factory,0.0,0.0,0.01,0.0,0.01,,,,,,
16586,Irotoridori no Sekai: World's End Re-Birth,PSV,2015.0,Action,HuneX,0.0,0.0,0.01,0.0,0.01,,,,,,
16601,Saints Row: Gat out of Hell,XOne,2015.0,Action,Deep Silver,0.0,0.01,0.0,0.0,0.01,65.0,16.0,6,27.0,Volition Inc.,M
16612,Mario & Luigi: Paper Jam & Mario Kart 7 Double Pack,3DS,2015.0,Misc,Nintendo,0.0,0.0,0.01,0.0,0.01,,,,,,
16614,Kiniro no Corda 3,3DS,2015.0,Adventure,Tecmo Koei,0.0,0.0,0.01,0.0,0.01,,,,,,
16622,Xblaze: Lost Memories,PSV,2015.0,Adventure,Arc System Works,0.01,0.0,0.0,0.0,0.01,,,7,8.0,Arc System Works,M
16666,Hakuoki: Reimeiroku - Omouhase Kara,PSV,2015.0,Action,Idea Factory,0.0,0.0,0.01,0.0,0.01,,,,,,
